cpath_x cpath_y cpath_z cpath_theta
-14.273800 14.269400 0.000000 0.000000
-14.242800 14.267700 0.000000 -0.054784
-14.212800 14.267000 0.000000 -0.023329
-14.157800 14.266200 0.000000 -0.014544
-14.127800 14.266000 0.000000 -0.006667
-14.097800 14.265700 0.000000 -0.010000
-14.042800 14.265500 0.000000 -0.003636
-13.987800 14.265300 0.000000 -0.003636
-13.957800 14.265200 0.000000 -0.003333
-13.902800 14.265100 0.000000 -0.001818
-13.897800 14.265100 0.000000 0.000000
-13.842800 14.265100 0.000000 0.000000
-13.737800 14.265100 0.000000 0.000000
-13.682800 14.265100 0.000000 0.000000
-13.627800 14.265100 0.000000 0.000000
-13.597800 14.265000 0.000000 -0.003333
-13.492800 14.265000 0.000000 0.000000
-13.387800 14.265000 0.000000 0.000000
-13.282800 14.265000 0.000000 0.000000
-13.177800 14.265000 0.000000 0.000000
-13.072800 14.265000 0.000000 0.000000
-12.967800 14.265000 0.000000 0.000000
-12.862800 14.265000 0.000000 0.000000
-12.757800 14.265000 0.000000 0.000000
-12.652800 14.265000 0.000000 0.000000
-12.547800 14.265000 0.000000 0.000000
-12.442800 14.265000 0.000000 0.000000
-12.387800 14.265000 0.000000 0.000000
-12.332800 14.265000 0.000000 0.000000
-12.277800 14.264900 0.000000 -0.001818
-12.222800 14.264800 0.000000 -0.001818
-12.167800 14.264600 0.000000 -0.003636
-12.112800 14.264000 0.000000 -0.010909
-12.082800 14.263500 0.000000 -0.016665
-12.052800 14.262800 0.000000 -0.023329
-12.022900 14.261700 0.000000 -0.036773
-11.992900 14.260000 0.000000 -0.056606
-11.963000 14.257500 0.000000 -0.083418
-11.933200 14.253900 0.000000 -0.120223
-11.903500 14.250100 0.000000 -0.127255
-11.873700 14.246200 0.000000 -0.130133
-11.844000 14.242600 0.000000 -0.120624
-11.814100 14.239600 0.000000 -0.100000
-11.784200 14.237300 0.000000 -0.076772
-11.754300 14.235400 0.000000 -0.063460
-11.724400 14.233000 0.000000 -0.080096
-11.694900 14.227300 0.000000 -0.190868
-11.666500 14.217800 0.000000 -0.322807
-11.637700 14.209600 0.000000 -0.277382
-11.608000 14.204800 0.000000 -0.160231
-11.578300 14.201000 0.000000 -0.127255
-11.548500 14.197200 0.000000 -0.126832
-11.518800 14.193500 0.000000 -0.123941
-11.488900 14.190400 0.000000 -0.103310
-11.459000 14.187900 0.000000 -0.083418
-11.429100 14.185900 0.000000 -0.066790
-11.399200 14.183900 0.000000 -0.066790
-11.369500 14.179500 0.000000 -0.147078
-11.340900 14.170600 0.000000 -0.301690
-11.312500 14.160800 0.000000 -0.332276
-11.284300 14.150700 0.000000 -0.343922
-11.255900 14.140800 0.000000 -0.335420
-11.227100 14.132500 0.000000 -0.280591
-11.198200 14.124600 0.000000 -0.266838
-11.168700 14.119100 0.000000 -0.184324
-11.138900 14.116100 0.000000 -0.100333
-11.108900 14.114100 0.000000 -0.066568
-11.079200 14.110000 0.000000 -0.137180
-11.050600 14.101300 0.000000 -0.295302
-11.022600 14.090500 0.000000 -0.368131
-10.993200 14.084400 0.000000 -0.204580
-10.963500 14.080500 0.000000 -0.130566
-10.933600 14.077600 0.000000 -0.096688
-10.903700 14.075500 0.000000 -0.070119
-10.873800 14.073300 0.000000 -0.073446
-10.844400 14.067600 0.000000 -0.191502
-10.816100 14.057600 0.000000 -0.339662
-10.787400 14.048800 0.000000 -0.297519
-10.758100 14.042600 0.000000 -0.208528
-10.728600 14.036800 0.000000 -0.194134
-10.699300 14.030600 0.000000 -0.208528
-10.670200 14.023300 0.000000 -0.245787
-10.641200 14.015600 0.000000 -0.259529
-10.611800 14.009800 0.000000 -0.194778
-10.582000 14.006500 0.000000 -0.110289
-10.552000 14.004600 0.000000 -0.063249
-10.522100 14.002600 0.000000 -0.066790
-10.492200 14.000000 0.000000 -0.086738
-10.462400 13.996800 0.000000 -0.106973
-10.432600 13.993000 0.000000 -0.126832
-10.402900 13.989000 0.000000 -0.133875
-10.373100 13.985100 0.000000 -0.130133
-10.343300 13.981600 0.000000 -0.116914
-10.313500 13.978900 0.000000 -0.090357
-10.283500 13.976600 0.000000 -0.076517
-10.253600 13.974900 0.000000 -0.056795
-10.223600 13.973200 0.000000 -0.056606
-10.193700 13.971500 0.000000 -0.056795
-10.163700 13.969900 0.000000 -0.053283
-10.133800 13.968200 0.000000 -0.056795
-10.078900 13.965200 0.000000 -0.054591
-10.049000 13.962700 0.000000 -0.083418
-10.019400 13.957600 0.000000 -0.170622
-9.990620 13.949300 0.000000 -0.280776
-9.961700 13.941300 0.000000 -0.269877
-9.932210 13.935800 0.000000 -0.184386
-9.877760 13.928100 0.000000 -0.140483
-9.848050 13.923900 0.000000 -0.140436
-9.818250 13.920500 0.000000 -0.113603
-9.788360 13.917900 0.000000 -0.086767
-9.758430 13.915800 0.000000 -0.070049
-9.728510 13.913700 0.000000 -0.070072
-9.698920 13.908900 0.000000 -0.160816
-9.670440 13.899600 0.000000 -0.315629
-9.641810 13.890600 0.000000 -0.304574
-9.612310 13.885300 0.000000 -0.177765
-9.557800 13.877900 0.000000 -0.134930
-9.528060 13.874000 0.000000 -0.130392
-9.498250 13.870700 0.000000 -0.110252
-9.468360 13.868000 0.000000 -0.090087
-9.438430 13.866000 0.000000 -0.066723
-9.408490 13.864100 0.000000 -0.063375
-9.378720 13.860500 0.000000 -0.120343
-9.349560 13.853500 0.000000 -0.235597
