# seq: 0
# timestamp: 1683813944.259223
# frame_id: map
# x, y, z, x, y, z, w
-14.2738 14.2694 0 0 0 -0.0752816 0.997162 
-14.2678 14.2685 0 0 0 -0.04956 0.998771 
-14.2628 14.2683 0 0 0 -0.0194124 0.999812 
-14.2578 14.2681 0 0 0 -0.0178247 0.999841 
-14.2528 14.268 0 0 0 -0.0156269 0.999878 
-14.2478 14.2678 0 0 0 -0.0145289 0.999894 
-14.2428 14.2677 0 0 0 -0.013307 0.999911 
-14.2378 14.2675 0 0 0 -0.0124513 0.999922 
-14.2328 14.2674 0 0 0 -0.0115972 0.999933 
-14.2278 14.2673 0 0 0 -0.010865 0.999941 
-14.2228 14.2672 0 0 0 -0.0101327 0.999949 
-14.2178 14.2671 0 0 0 -0.00976661 0.999952 
-14.2128 14.267 0 0 0 -0.00915524 0.999958 
-14.2078 14.2669 0 0 0 -0.00866707 0.999962 
-14.2028 14.2668 0 0 0 -0.00817989 0.999967 
-14.1978 14.2668 0 0 0 -0.00781274 0.999969 
-14.1928 14.2667 0 0 0 -0.00744567 0.999972 
-14.1878 14.2666 0 0 0 -0.00708041 0.999975 
-14.1828 14.2665 0 0 0 -0.00683629 0.999977 
-14.1778 14.2665 0 0 0 -0.00659217 0.999978 
-14.1728 14.2664 0 0 0 -0.00622598 0.999981 
-14.1678 14.2664 0 0 0 -0.00585907 0.999983 
-14.1628 14.2663 0 0 0 -0.00561497 0.999984 
-14.1578 14.2662 0 0 0 -0.00549359 0.999985 
-14.1528 14.2662 0 0 0 -0.00524945 0.999986 
-14.1478 14.2661 0 0 0 -0.00488264 0.999988 
-14.1428 14.2661 0 0 0 -0.00476058 0.999989 
-14.1378 14.266 0 0 0 -0.00463852 0.999989 
-14.1328 14.266 0 0 0 -0.00427234 0.999991 
-14.1278 14.266 0 0 0 -0.00415079 0.999991 
-14.1228 14.2659 0 0 0 -0.00402871 0.999992 
-14.1178 14.2659 0 0 0 -0.0037841 0.999993 
-14.1128 14.2658 0 0 0 -0.00366204 0.999993 
-14.1078 14.2658 0 0 0 -0.00353997 0.999994 
-14.1028 14.2658 0 0 0 -0.00329584 0.999995 
-14.0978 14.2657 0 0 0 -0.00317378 0.999995 
-14.0928 14.2657 0 0 0 -0.00317378 0.999995 
